Name,rank,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
Wii Sports,1,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
Super Mario Bros.,2,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
Mario Kart Wii,3,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
Wii Sports Resort,4,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
Pokemon Red/Pokemon Blue,5,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
Tetris,6,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
New Super Mario Bros.,7,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
Wii Play,8,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
New Super Mario Bros. Wii,9,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
Duck Hunt,10,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
Nintendogs,11,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76
Mario Kart DS,12,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
Pokemon Gold/Pokemon Silver,13,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1
Wii Fit,14,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
Wii Fit Plus,15,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0
Kinect Adventures!,16,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
Grand Theft Auto V,17,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
Grand Theft Auto: San Andreas,18,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
Super Mario World,19,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
Brain Age: Train Your Brain in Minutes a Day,20,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
Pokemon Diamond/Pokemon Pearl,21,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
Super Mario Land,22,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
Super Mario Bros. 3,23,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
Grand Theft Auto V,24,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
Grand Theft Auto: Vice City,25,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
Pokemon Ruby/Pokemon Sapphire,26,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
Pokemon Black/Pokemon White,27,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
Brain Age 2: More Training in Minutes a Day,28,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
Gran Turismo 3: A-Spec,29,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
Call of Duty: Modern Warfare 3,30,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
Pokémon Yellow: Special Pikachu Edition,31,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
Call of Duty: Black Ops,32,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
Pokemon X/Pokemon Y,33,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
Call of Duty: Black Ops 3,34,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
Call of Duty: Black Ops II,35,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
Call of Duty: Black Ops II,36,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
Call of Duty: Modern Warfare 2,37,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
Call of Duty: Modern Warfare 3,38,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
Grand Theft Auto III,39,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
Super Smash Bros. Brawl,40,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
Call of Duty: Black Ops,41,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
Animal Crossing: Wild World,42,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
Mario Kart 7,43,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
Halo 3,44,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
Grand Theft Auto V,45,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
Pokemon HeartGold/Pokemon SoulSilver,46,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
Super Mario 64,47,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
Gran Turismo 4,48,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
Super Mario Galaxy,49,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,50,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
